player_name,platform,game_id,kills,score,ptype,trnchange,trnrating,matches
unq Kreyzi,pc,668836175,6,845,p10,2.0440000000000147,4950.9,10
Hysteria,pc,653325007,2,419,p9,-3,4952,1
Hysteria,pc,653286391,11,962,p9,2.369999999999982,4955,2
Hysteria,pc,653253833,16,1005,p9,2.494999999999982,4952.6,3
Hysteria,pc,653226078,9,1333,p9,0.37731594600000334,4950.1,4
Hysteria,pc,653191627,0,106,p9,-1.424500000000005,4946.8,5
Hysteria,pc,653181544,2,130,p9,-1.140749999999996,4948.2,6
Hysteria,pc,653166680,5,709,p9,1.0339999999999965,4949.3,7
Hysteria,pc,653143028,7,376,p9,0.3907500000000027,4948.3,8
Hysteria,pc,653132846,0,125,p9,-3,4947.9,9
Hysteria,pc,653112510,9,663,p9,1.0020000000000073,4950.9,10
Liquid Strafe,pc,670130360,15,893,p10,4.539099999999999,4777.6,1
Liquid Strafe,pc,670059902,7,403,p10,8.666000000000013,4761.1,2
Liquid Strafe,pc,670059903,7,405,p2,1.7605000000000066,4951.5,3
Liquid Strafe,pc,669959618,2,236,p2,0.5080000000000018,4949.7,4
Liquid Strafe,pc,669597190,5,313,p2,-2,4949.2,5
Liquid Strafe,pc,669479020,2,362,p2,1.2650000000000092,4950.7,6
Liquid Strafe,pc,667758994,24,1386,p2,-2,4949.4,7
Liquid Strafe,pc,665714680,6,505,p2,1.8339999999999872,4949.4,8
Liquid Strafe,pc,665676162,0,94,p2,-3,4947.6,9
Liquid Strafe,pc,665611034,7,605,p2,2.06,4950.6,10
Player2 Sojí,pc,671917554,2,148,p2,-98.78385000000002,1309.1,1
Player2 Sojí,pc,671452155,0,489,p9,1.7279999999999927,4958.5,2
Player2 Sojí,pc,671384419,0,53,p9,-3,4956.8,3
Player2 Sojí,pc,666884701,7,735,p2,-76.9284637048125,1504,4
Player2 Sojí,pc,660949618,0,807,p9,1.6759999999999855,4959.8,5
Player2 Sojí,pc,660783966,2,1701,p9,1.7472000000000119,4958.1,6
Player2 Sojí,pc,660675566,11,2669,p9,0.45984153599999444,4954.5,7
Player2 Sojí,pc,660468699,10,925,p9,2.6550000000000185,4949.6,8
Player2 Sojí,pc,658461019,0,22,p2,-91.311,1588.3,9
Player2 Sojí,pc,658461018,5,352,p9,0.40125,4946.9,10
NotVivid,pc,653208006,9,505,p10,1.3439999999999874,4962.9,1
NotVivid,pc,653202760,1,87,p10,-3,4961.6,2
NotVivid,pc,653165946,7,505,p10,1.2844999999999938,4964.6,3
NotVivid,pc,653159755,1,107,p10,-3,4963.3,4
NotVivid,pc,653149433,7,169,p10,-2,4966.3,5
NotVivid,pc,653117055,12,805,p10,1.669999999999982,4968.3,6
NotVivid,pc,653082503,6,805,p10,1.3920000000000072,4966.6,7
NotVivid,pc,653077112,5,128,p10,-2,4965.2,8
NotVivid,pc,653057908,6,344,p10,-2,4967.2,9
NotVivid,pc,653018569,15,605,p10,1.619999999999982,4969.2,10
Solary Kinstaar,pc,671234082,7,182,p2,1.0460000000000036,4948.7,1
Solary Kinstaar,pc,671217086,1,73,p2,-3,4947.7,2
Solary Kinstaar,pc,666319698,0,255,p2,-3,4950.7,3
Solary Kinstaar,pc,666304594,2,105,p2,-3,4953.7,4
Solary Kinstaar,pc,666297129,1,74,p2,-3,4956.7,5
Solary Kinstaar,pc,666282095,6,145,p2,-2,4959.7,6
Solary Kinstaar,pc,659242929,8,369,p10,0.8139999999999964,4960.1,7
Solary Kinstaar,pc,659229640,4,179,p10,-2,4959.3,8
Solary Kinstaar,pc,659205480,1,73,p10,-3,4961.3,9
Solary Kinstaar,pc,659133323,6,444,p9,2.75,4865.2,10
TacoSlut.,pc,670098188,9,665,p10,2.980000000000018,4943.4,1
TacoSlut.,pc,670033427,12,1145,p10,1.2172799999999915,4940.4,2
TacoSlut.,pc,669914709,14,1501,p9,-2,4976.3,3
TacoSlut.,pc,666632101,5,725,p10,2.64,4936.6,4
TacoSlut.,pc,666572190,7,411,p10,2.3939999999999877,4934,5
TacoSlut.,pc,666481856,3,282,p2,45.378,2776.5,6
TacoSlut.,pc,666481854,4,805,p10,2.8520000000000074,4931.6,7
TacoSlut.,pc,666481855,0,27,p9,-3,4979.2,8
TacoSlut.,pc,666202064,3,440,p9,0.6439999999999872,4982.2,9
TacoSlut.,pc,666074209,9,885,p9,0.9699999999999819,4981.6,10
DaaV96,pc,670911136,11,705,p10,1.359999999999991,4974.2,1
DaaV96,pc,670867672,11,796,p10,1.4300000000000184,4972.8,2
DaaV96,pc,670861034,5,419,p10,-2,4971.4,3
DaaV96,pc,670813741,11,705,p10,1.4000000000000001,4973.4,4
DaaV96,pc,670800199,6,210,p10,-2,4972,5
DaaV96,pc,670752132,9,765,p10,1.369999999999982,4974,6
DaaV96,pc,670708825,4,802,p10,-3,4972.6,7
DaaV96,pc,666412768,4,247,p10,-2,4974.6,8
DaaV96,pc,666364719,13,885,p10,-2,4976.6,9
DaaV96,pc,666302559,11,960,p10,-2,4977.7,10
ComradeDurachek,pc,673162290,21,605,p2,2.209999999999991,4958,1
ComradeDurachek,pc,673095898,12,405,p2,1.6030000000000064,4955.8,2
ComradeDurachek,pc,673083819,1,82,p2,-3,4954.2,3
ComradeDurachek,pc,673045653,13,368,p2,1.5539999999999874,4957.2,4
ComradeDurachek,pc,673026014,0,21,p2,-3,4955.6,5
ComradeDurachek,pc,673006624,3,119,p2,-2,4958.6,6
ComradeDurachek,pc,672936268,2,71,p2,-3,4960.6,7
